Timestamp,How old are you? (in years),How many years have you been cubing?,What is your global average? (in seconds),What is your primary method for speedsolving?,"On average, how many timed 3x3 solves do you do each day?",Approximately how many seconds of inspection do you use?,Approximately how many algorithms do you know for 3x3?,Are you color neutral (>1 color counts)?
3/21/2020 18:55,18,4,10.5,CFOP,50,13,170,Yes
3/21/2020 19:06,19,7,9,CFOP,100,8,500,No
3/21/2020 19:11,24,3,11.9,CFOP,200,4,300,No
3/21/2020 19:13,22,9,20,CFOP,30,11,40,No
3/21/2020 19:14,13,3,10.5,Other,60,7,500,Yes
3/21/2020 19:24,17,5,13,CFOP,50,10,50,Yes
3/21/2020 19:25,19,7,7.5,CFOP,10,7,1000,Yes
3/21/2020 19:27,16,3,13,Roux,3,10,25,No
3/21/2020 19:28,20,12,12,CFOP,5,8,69,Yes
3/21/2020 19:35,18,6,11,CFOP,10,7,80,Yes
3/21/2020 19:36,15,4,9,CFOP,20,6,60,Yes
3/21/2020 19:37,17,5,6.8,CFOP,30,8,600,Yes
3/21/2020 19:43,18,7,8.3,CFOP,30,7,150,No
3/21/2020 19:53,14,2.9,9.5,CFOP,50,10,120,Yes
3/21/2020 20:23,19,4,16,CFOP,20,9,50,No
3/21/2020 20:31,23,11,10.5,CFOP,20,6,120,No
3/21/2020 20:31,21,9,9,CFOP,40,10,200,No
3/21/2020 20:39,22,8,13,CFOP,100,10,50,No
3/21/2020 20:52,22,9,11,CFOP,20,12,200,Yes
3/21/2020 21:00,24,11,10,CFOP,0,9,420,Yes
3/21/2020 21:45,14,2.4,11,CFOP,40,8,300,Yes
3/21/2020 21:52,19,11,10,CFOP,30,8,250,No
3/21/2020 21:55,16,7,8.5,CFOP,30,8,100,Yes
3/21/2020 22:12,15,2,11.5,CFOP,75,12,100,Yes
3/21/2020 22:15,19,4,7.7,CFOP,50,8,1300,Yes
3/21/2020 22:16,19,7,8,CFOP,200,12,600,Yes
3/21/2020 22:28,17,7,8.8,CFOP,10,12,120,Yes
3/21/2020 22:35,18,7,8,CFOP,30,10,200,Yes
3/21/2020 22:39,35,6,15,CFOP,25,8,100,Yes
3/21/2020 22:50,20,6,10,CFOP,10,10,300,Yes
3/21/2020 22:55,17,3,9.75,CFOP,100,10,200,Yes
3/21/2020 23:10,23,1,19,CFOP,100,8,100,Yes
3/21/2020 23:12,16,6,15,Combination,5,10,200,Yes
3/21/2020 23:20,15,5,10,CFOP,0,7,200,No
3/21/2020 23:24,21,4,21,CFOP,70,8,35,No
3/21/2020 23:29,15,1,10.4,Roux,25,13,90,Yes
3/21/2020 23:32,17,4,18.6,CFOP,50,6,60,Yes
3/21/2020 23:44,17,4.5,6.8,CFOP,25,6,300,No
3/21/2020 23:44,13,3,9.5,CFOP,100,8,300,Yes
3/21/2020 23:52,19,6,11.5,CFOP,20,10,100,Yes
3/22/2020 0:04,19,6,10,CFOP,70,9,100,Yes
3/22/2020 0:09,17,5,9,CFOP,50,7,150,Yes
3/22/2020 0:10,17,2,15,CFOP,25,8,72,No
3/22/2020 0:16,17,10,9,CFOP,30,4,120,No
3/22/2020 0:36,18,5.5,9.5,CFOP,25,9,70,Yes
3/22/2020 0:39,12,2,8,CFOP,50,7,200,Yes
3/22/2020 0:53,19,3,13,CFOP,10,10,100,Yes
3/22/2020 0:58,23,7,12,CFOP,25,7,100,Yes
3/22/2020 1:00,23,3,10.7,CFOP,25,10,100,No
3/22/2020 1:00,16,5,10,CFOP,50,7,150,Yes
3/22/2020 1:03,13,3,10,CFOP,100,8,80,No
3/22/2020 1:23,17,5,10.6,CFOP,100,8,100,Yes
3/22/2020 1:43,15,6,7.5,CFOP,12,8,200,Yes
3/22/2020 1:54,21,9,18,CFOP,20,8,100,No
