No.;Time;Comment;Scramble;Date;P.1
1;10.13;;B2 L' U2 D' R' D R2 F L' D2 L2 D2 B2 R2 B2 L2 U' L2 D L2;N/A;10.13
2;13.70;;U R2 U B2 D2 L2 D' F2 U B2 R2 L F' D B' L R' F' U2 B2 D;N/A;13.70
3;9.52;;F' D U B2 U' B2 L2 B2 U2 F2 D' L2 F L' B2 D R2 D' B' F R;N/A;9.52
4;10.39;;D' B2 L2 D2 L2 U' L2 U L2 B2 L U L B' F' R' U' L U B;N/A;10.39
5;10.30;;L2 D2 B2 U2 L' U2 L2 R D2 B2 R' F L B R F2 U B F' D' B;N/A;10.30
6;11.35;;R2 B' D2 F L2 B' F2 R2 F' D2 F' U' F' L' R2 B' F' L U' F' R;N/A;11.35
7;13.48;;R2 D2 F2 R2 U2 B2 U L2 F2 U2 B' U R2 F' L' R F2 D B' F;N/A;13.48
8;10.34;;D L2 U2 L2 U2 F2 L2 D' F2 U2 F' U2 B L D' B2 L D2 R' F2;N/A;10.34
9;9.89;;R2 B2 D2 R2 B2 D' B2 R2 U' L' B' U2 R U' F D R2 F L;N/A;9.89
10;14.04;;R' U F2 D2 R2 F2 U R2 B2 U' F2 R2 B F2 L' D' L' U F L U';N/A;14.04
11;12.09;;L D L2 B2 L2 R2 U2 F2 R2 D L2 U2 B' D F2 D2 L D' L U' L;N/A;12.09
12;12.94;;U2 R F' U' L U' B' U B R2 F2 L2 U B2 D' L2 D2 L2 U2 F2;N/A;12.94
13;9.85;;B' D2 L2 D' F L' F2 L U' F D2 L2 D2 R2 B R2 U2 B2 L2 D2;N/A;9.85
14;11.30;;F2 L2 D' L2 D' U2 R2 U L2 R2 U2 L U2 B F' R' U' B2 L F2;N/A;11.30
15;13.85;;R U R' D2 F U' B L D2 B F2 D2 R' B2 R L2 F2 B2 R' F2 D2;N/A;13.85
16;10.67;;U2 F' R2 B2 R' D B U2 R' U2 L2 D2 B2 R2 U2 F2 D' B2 D' L2;N/A;10.67
17;10.72;;R2 B2 L2 U' F2 R2 U2 R2 U' B2 D2 R B2 F R U2 R F2 L U;N/A;10.72
18;10.04;;R D' F2 R2 F2 U' B2 U' B2 D F2 L2 F L2 B' L2 D' F2 R F2;N/A;10.04
19;8.50;;F L2 D2 U2 B2 U2 R' D2 R B2 U2 F U' F' L D' B' R U2 L;N/A;8.50
20;9.40;;R L D' L2 D' F' R' L' F2 L2 D2 L2 D B2 D2 R2 B2 D F2 R;N/A;9.40
21;11.96;;R2 U' L2 D R2 D F2 U2 L2 R' U2 B L2 U2 R D U' B2 D;N/A;11.96
22;9.47;;D2 F U2 L2 F R2 F U2 L2 R D' L2 D2 B' D' U L2 F2;N/A;9.47
23;9.58;;L2 B2 U B2 L2 D F2 D2 L2 F2 D' L D' R B U F2 D U2 L' B';N/A;9.58
24;10.47;;F D2 B' L2 B L2 B2 U2 L2 U2 R' D' R' F U F U' F2 U' B';N/A;10.47
25;9.91;;U' F2 L2 U' L2 B2 D L2 R2 F2 L' D L2 D' B' D U2 B' L U';N/A;9.91
26;11.24;;U L2 U' L2 U' L2 B2 F2 D L2 D2 F U L2 B R B F L F;N/A;11.24
27;9.88;;D2 U2 L2 B2 F2 D2 F2 R U2 F2 R F' R D B U2 L D2 U' L' D;N/A;9.88
28;8.79;;B L2 U2 B2 L' B2 R2 D2 U2 B2 L' B' U' B2 L' D L2 B' F L2;N/A;8.79
29;10.57;;L2 B2 U2 F2 L F2 D2 L2 U' L2 D L R B' L D2 R' B';N/A;10.57
30;11.77;;R2 U2 F' R2 B' U2 R2 B2 U2 B' F' R D' L D2 R D2 B' D' U2 F;N/A;11.77
31;12.69;;F' L D F' L2 U D R' F2 D R2 L2 D' B2 U' B2 D' B2 F;N/A;12.69
32;8.38;;U' D' R' D L' F2 D' B' L U2 R D2 F2 R' B2 D2 L D';N/A;8.38
33;8.71;;U' R F U2 R' U F' R L2 U' F2 U' L2 D R2 B2 U B2 D B';N/A;8.71
34;10.62;;D' R U' L2 D' F' R D2 F U2 L2 F2 B2 R' F2 R' L' B2 L';N/A;10.62
35;11.62;;B2 R' F2 L B2 U2 F2 L U2 F2 L' B' F' U2 R U R' D' U2 B';N/A;11.62
36;11.72;;F2 U2 F2 R2 F' L2 F' U' F2 U R U B2 F' R D' L';N/A;11.72
37;9.54;;D2 R F L U R B' U' L2 F2 U2 B2 U2 R F2 L2 D2 L';N/A;9.54
38;9.93;;D2 U' F2 U' B2 F2 U R2 F2 L2 F' L R' B U2 F L' D L' U' L';N/A;9.93
39;10.14;;R2 U B2 D F2 U' B2 R2 D L2 D2 B R D2 L F' U' R' D2 R' U';N/A;10.14
40;11.67;;D R2 B2 D R2 U B2 L2 F2 D2 F D' B2 L U' F' U' L R B;N/A;11.67
41;13.80;;U B2 D' U2 B2 R2 D2 R2 D2 R2 F2 B' R' F' U' B F L' U' F2 R;N/A;13.80
42;9.40;;F U F' D' F B R2 F L D L' U2 R U2 B2 R' F2 L2 F2;N/A;9.40
43;10.11;;R2 F2 U' L2 D2 L2 U' R2 D L2 U B D2 L D F' L2 D' L' U R;N/A;10.11
44;11.69;;R2 D2 F2 D' B2 U B2 U F2 L2 D F' L2 B' L D F' L' F' D R;N/A;11.69
45;10.34;;U' F' B L2 B' U D' B D' R B2 R2 F2 D L2 B2 D' L2 U2 B2 U;N/A;10.34
46;10.60;;D F' U2 L2 U2 B' L2 F D2 U2 F2 L' U' R' U' B' U' F' U2 R2;N/A;10.60
