No.;Time;Comment;Scramble;Date;P.1
1;7.73;;F2 D' F2 D2 L2 F2 U B2 D F2 R2 B' R B2 U2 B D' R' B' R2;2020-02-07 16:56:38;7.73
2;9.41;;B2 D R2 F2 U2 R2 B U2 R2 F R2 B U' F2 R2 D2 B R F';2020-02-07 16:56:55;9.41
3;10.80;;U' F2 D2 F2 L2 B2 R D2 B2 L' F2 R U F L R F' D' U R2;2020-02-07 16:57:16;10.80
4;8.67;;U2 L2 D2 L' D2 B2 R2 U2 R B2 D2 B U' B2 L2 U' L D' U2 F' D;2020-02-07 16:57:37;8.67
5;13.80;;B U2 F' D B2 R F U2 D2 L2 U2 B2 U2 R D2 R U2 B2 R2;2020-02-07 16:57:54;13.80
6;8.74;;U2 F2 U2 R2 F' D2 B U2 R2 D2 U2 L' D' F2 L' D F' R2 B2 D';2020-02-07 16:58:17;8.74
7;8.68;;D F2 L2 F' R2 U2 F2 D2 R2 B2 U2 R2 L' B' U' F' D2 L U' B;2020-02-07 16:58:35;8.68
8;10.86;;D U L2 D2 U F2 U' R2 B2 F U2 B' L F2 R B2 D B' R';2020-02-07 16:58:53;10.86
9;11.79;;R' L2 U B D' B2 R F D2 F2 R' D2 L2 F2 B2 U2 R' B2 U2 L;2020-02-07 16:59:16;11.79
10;9.58;;B D U2 B2 L2 D U2 L2 F2 U' L2 R F' D R2 D2 L2 U R' F2;2020-02-07 16:59:40;9.58
11;12.22;;D' B F2 R2 U2 B2 D' R2 U' F2 U R2 U B2 L' F' R2 D2 L D2 B2;2020-02-07 17:00:01;12.22
12;10.05;;L' F D2 F R2 B' L2 B D2 R2 B' D' R' D' F2 D' R2 U R2;2020-02-07 17:00:39;10.05
13;9.43;;U2 L2 U B' R U' R L2 B' U2 B2 L' B2 L F2 D2 F2 R L U2;2020-02-07 17:01:02;9.43
14;9.38;;F' L F' B2 U F2 D B2 U' R2 F2 U' B2 F' U L U' B' U;2020-02-07 17:01:22;9.38
15;8.73;;F R' B U B' R2 B D L B2 U2 F2 D B2 U2 L2 U' F2 U' B2 L';2020-02-07 17:01:42;8.73
16;9.29;;L' D2 F2 R2 F' U F2 U F2 R' B2 D2 R U2 R' U2 F2 B2 R F';2020-02-07 17:02:02;9.29
17;10.70;;U R2 U' B2 L2 U2 R2 D' U' F' R B' D' U B R' F D2 F';2020-02-07 17:02:23;10.70
18;9.85;;R2 B' L' F2 L' D2 F U2 F2 D2 B2 L' U2 R2 F2 R B2 D';2020-02-07 17:02:51;9.85
19;8.16;;B' L U L2 B D2 B U' L' U' B2 U' B2 U' B2 D2 R2 B2 U2;2020-02-07 17:03:12;8.16
20;9.81;;U' F2 R2 B L2 B D2 B D2 L2 U2 F' R2 L' D' U' F' L D' L2 R;2020-02-07 17:03:32;9.81
21;9.52;;U2 D2 F' L' B U' D' F R2 D2 F2 L2 U2 D2 L' D2 L U2 L' F';2020-02-07 17:03:52;9.52
22;8.19;;R' U' L2 D L2 U2 B2 L2 D B2 F2 R2 F' R B2 F U B' D L' D';2020-02-07 17:04:13;8.19
23;9.49;;R F R' D2 B2 L B2 L R2 F2 U2 R D F R' U B D L';2020-02-07 17:04:35;9.49
24;9.88;;D2 R B2 L2 U2 F2 R B2 R' U2 R2 D B2 L' D' U B' F' L D2;2020-02-07 17:04:55;9.88
25;10.03;;F D' U2 L2 D2 U2 F2 D2 F R2 U2 F' R2 L F R U2 B L' F';2020-02-07 17:05:18;10.03
26;10.34;;F D R' U2 L B' R' B2 U2 R' U2 L2 F2 R D2 R' D' R2;2020-02-07 17:05:36;10.34
27;8.95;;U2 D L' U2 F' L' U' L2 U L' B2 R D2 B2 R' D2 L F2 R2 D2;2020-02-07 17:05:59;8.95
28;12.16;;D L2 U2 F2 R2 U' F2 U' L2 D' B2 U' F' L' R' B' U2 L2 R' U;2020-02-07 17:06:22;12.16
29;8.14;;D2 B2 R' U2 L' D2 L F2 R B2 L2 D' L' F' D2 L' D B' R' D;2020-02-07 17:06:44;8.14
30;8.44;;D' R D' B2 R2 U R2 D2 L2 D U' B' R' F' L D R2 U' R';2020-02-07 17:07:02;8.44
31;9.80;;U' R2 B F U2 R2 B' R2 B2 R2 F L2 D' L' B' L' U' F' R D;2020-02-07 17:07:23;9.80
32;10.76;;U2 F' R2 U' L2 D B L' U F' U2 L2 U2 F2 D2 B U2 B' D2 F';2020-02-07 17:07:54;10.76
33;7.85;;R' B' U' R2 D' F' R F2 U2 F R2 U2 B U2 B2 R2 U2 F U2 L;2020-02-07 17:09:00;7.85
34;10.41;;D2 L U2 B' L U2 D' L' F R2 F U2 R2 U2 B L2 F' U2 B' L';2020-02-07 17:09:17;10.41
35;9.77;;R' U' L' D2 R F L U L2 F U2 R2 B' U2 B' R2 B L2 D2 L';2020-02-07 17:09:38;9.77
36;11.49;;L2 U' F' R U' B D' R' B R' F2 U2 B2 D2 R B2 R U2 R U2 L;2020-02-07 17:09:58;11.49
37;10.26;;R2 U2 R' D2 L D2 F2 D2 F2 L' R2 D2 F' U L2 B F2 L B2 L2 D';2020-02-07 17:10:18;10.26
38;10.37;;B' U2 B2 L2 D2 L2 D2 F2 R' D2 U2 R' F' D F2 R F2 L2 D2 B;2020-02-07 17:12:45;10.37
39;10.08;;D' B' R' U' D R F2 B U L D2 R2 D2 F2 L F2 U2 F2 L;2020-02-07 17:13:07;10.08
40;9.28;;L' B2 R' F2 D2 F2 U2 R' U2 L B2 R' D' B' F' R U2 L B2 U R2;2020-02-07 17:13:32;9.28
41;10.08;;F R' D2 F L2 B D2 B F D2 U2 R F' U B' R' D F L;2020-02-07 17:13:54;10.08
42;10.92;;L' R2 D2 B U2 B2 L2 B U2 F2 U2 L2 F' L R2 B' R2 U' L2 R B2;2020-02-07 17:14:41;10.92
43;10.15;;U' B' R U D F2 B2 R' L2 D2 R2 U2 F U2 D2 F R2 B2 L2 B U';2020-02-07 17:15:03;10.15
44;11.24;;D' R L2 D2 U2 B L2 F D2 R2 F2 R2 B2 F L D' F R D U' B;2020-02-07 17:15:35;11.24
45;9.14;;U2 F2 U' R2 U L2 F2 U2 B2 D F L' F2 D' F U' B2 L' R' D';2020-02-07 17:15:57;9.14
46;9.61;;R2 B D B' U' R2 D2 R' F U2 R2 B2 D F2 U' R2 L2 F2 D F2 L2;2020-02-07 17:16:17;9.61
47;7.22;;U2 F R' B U' L F U B U' F2 D2 L2 F2 L2 D R2 U F2 U2 R2;2020-02-07 17:16:39;7.22
