No.;Time;Comment;Scramble;Date;P.1
1;10.16;;B2 F2 D2 R2 B2 D U2 B2 D R2 D' R2 F' L U2 B2 F2 R U' F2 D2;2020-03-18 18:47:59;10.16
2;11.25;;R' U L F D2 L' D2 L D' L' F2 D2 B2 U2 D2 R F2 B2 L2 B2;2020-03-18 18:48:25;11.25
3;9.40;;F' U2 F2 L2 D2 R2 B' D2 R2 F' U R2 U R D L D2 B' L D2;2020-03-18 18:48:50;9.40
4;10.72;;L2 R2 B' L2 F' D2 R2 D2 B U2 R2 F' D' R F' U' L2 F2 U' B';2020-03-18 18:50:03;10.72
5;9.26;;R' F U' B2 U' D' F2 D' L B' U2 F' U2 R2 L2 U2 B' R2 F' D2 F2;2020-03-18 18:50:28;9.26
6;10.40;;R U2 F' L2 R2 U2 B D2 B2 U2 B2 F' L' U' B' D U B L' B2 D';2020-03-18 18:50:57;10.40
7;10.11;;L' F' R D' R' F2 L U' F R D2 R2 U2 L D2 R2 U2 R' F2 U2;2020-03-18 18:51:20;10.11
8;10.10;;R B2 F2 U F2 U' F2 L2 U2 R2 L B R F' L U' B F2 L';2020-03-18 18:51:42;10.10
9;16.57;;F' D' L' F2 D2 R2 U' L2 D L2 R2 F2 D L2 F' D R D' U' L';2020-03-18 18:52:12;16.57
10;12.82;;L2 F2 D2 B2 F' R2 F2 U2 F' U2 F2 D' L B2 R' D F' D2 R' D2;2020-03-18 18:52:44;12.82
11;10.57;;R U B D2 L2 B R' D B R' D2 R B2 L D2 L' U2 B2 R' F2;2020-03-18 18:53:08;10.57
12;9.94;;B' D' B2 D' R2 B2 U' B2 D F2 L2 U2 L D2 B L2 F' D2 L2 R' B';2020-03-18 18:53:31;9.94
13;11.76;;U F B2 U2 B2 D2 R F2 U2 L R D2 R' F D L R2 U F' U;2020-03-18 18:53:57;11.76
14;10.91;;F' R U2 F' U B L U' L2 U2 L2 D F2 L2 F2 L2 U R2 U' B R2;2020-03-18 18:54:24;10.91
15;10.16;;D' L' B' D B2 U B' R B' F2 U B2 U B2 U B2 D' B2 D2;2020-03-18 18:54:53;10.16
