No.;Time;Comment;Scramble;Date;P.1
1;11.69;;U' D2 L2 D' B U2 L B' D2 R2 B2 D2 F' R2 F' D2 B' R2 F2 U L;2020-03-01 23:44:49;11.69
2;10.52;;R F' D2 R2 B2 L U2 L F2 D2 R' D2 L' D' F' L B' D' R2 U2 R';2020-03-01 23:45:09;10.52
3;12.29;;D L' F' R2 F U2 B U2 F L2 F' R2 F D' L R B L D' F2;2020-03-01 23:45:29;12.29
4;10.70;;D2 U2 R2 F' U2 L2 F2 R2 B' R2 F2 D2 L F2 R F' D' R' B' F2 L';2020-03-01 23:45:52;10.70
5;12.02;;L2 F' D' L' B2 U2 L2 B U' F2 L U2 B2 L' U2 R D2 F2 U2 R U2;2020-03-01 23:46:21;12.02
6;9.28;;R2 F2 U' L2 F2 U2 B2 F2 U B2 D F2 B' U L' U2 L2 R2 F' R' F;2020-03-01 23:47:53;9.28
7;12.03;;U B D R F B2 R B R2 B2 D2 B2 L2 F2 U' F2 D R2 U' L;2020-03-01 23:48:11;12.03
8;11.90;;F L R2 U2 R2 B2 U L2 U2 B2 D R2 U2 R2 L D' F' R2 B U L';2020-03-01 23:48:42;11.90
9;11.03;;R2 U2 B' R2 F L2 U2 B U2 R2 F' U F' L U' B' F' R' F' U;2020-03-01 23:50:26;11.03
10;9.75;;L' U' R F' B' D' F' L F U2 L2 D L2 D2 B2 D' L2 F2 D' F2;2020-03-01 23:50:48;9.75
11;13.99;;B2 D2 L2 R2 D U' R2 U' F2 R2 F U' R' D' B' L D L2 U L;2020-03-01 23:51:08;13.99
12;10.05;;D R2 D2 R2 U2 R2 B2 D' B2 F2 U L D2 B L' F U2 B' F U2;2020-03-01 23:51:32;10.05
13;10.85;;R' U2 B2 U2 F' L2 U2 B D2 B2 D2 L2 B U' B2 U' B' R F2 U2;2020-03-01 23:51:50;10.85
14;10.10;;B' R B' U2 F R2 F' R2 D2 B R2 D2 F2 R2 D U B' U' B F R2;2020-03-01 23:52:09;10.10
15;12.19;;F L2 B2 F2 U2 F2 D L2 D U' R2 L B L B2 F R' D2 L2;2020-03-01 23:52:29;12.19
16;11.25;;U' L2 F2 U2 B2 F2 L2 B2 R2 D L' U B R' F D' R2 U' R B;2020-03-01 23:52:49;11.25
17;10.19;;U2 L' U2 B2 F2 R2 B2 F2 U' B2 D L2 D F R' B L B' U2 L';2020-03-01 23:53:10;10.19
18;17.01;;B2 L2 D2 B2 L2 U2 F2 L F2 L' B2 U' L' R2 B2 F D2 B2 U' B';2020-03-01 23:53:55;17.01
19;11.37;;U' L2 U' F U' D R' B D B2 R U2 F2 D2 L' B2 R2 L D2 R' B;2020-03-01 23:54:24;11.37
20;10.83;;B2 D B2 L2 D' R2 D' F2 D' U' L' B L' D R' U B2 L' D2 B';2020-03-01 23:54:45;10.83
21;11.57;;U' R2 F B' D' F U2 B' U2 B2 L U2 R B2 R' F2 U2 L2 U2 L' D;2020-03-01 23:55:06;11.57
22;14.91;;F' B2 D2 F2 L2 D F2 D F2 D2 F2 U' R2 B' R D2 B2 U' F R B2;2020-03-01 23:55:26;14.91
23;10.16;;U2 F2 R2 B2 R2 U2 L2 D' F2 U' B2 U2 R D' U2 F L2 D2 B L2 U;2020-03-02 00:11:43;10.16
24;14.02;;B' R2 B' L' U D' B2 R' B' R2 F D2 F2 U2 L2 U2 F D2 L2;2020-03-02 00:12:39;14.02
25;11.01;;L B L2 F' L2 U2 F D2 F2 L2 U2 B' L2 U L' B2 D R U F' R';2020-03-02 17:15:02;11.01
26;13.32;;B2 L' R2 D2 U2 B2 R' D2 L' U2 R D2 U' L D' B' F' R2 F2 R B';2020-03-02 18:45:47;13.32
